,sents,ner_seq,entities,num_entities,num_tokens,prompts,empty_prompts
0,is secreted and exhibits properties of a granin .,O O O O O O O O O,[],0,0,"Sentence: is secreted and exhibits properties of a granin .
Diseases: ","Sentence: is secreted and exhibits properties of a granin .
Diseases:"
1,Germline mutations in BRCA1 are responsible for most cases of inherited breast and ovarian cancer .,O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease I-Disease O,['inherited breast and ovarian cancer'],1,7,"Sentence: Germline mutations in BRCA1 are responsible for most cases of inherited breast and ovarian cancer .
Diseases: inherited breast and ovarian cancer","Sentence: Germline mutations in BRCA1 are responsible for most cases of inherited breast and ovarian cancer .
Diseases:"
2,"However , the function of the BRCA1 protein has remained elusive .",O O O O O O O O O O O O,[],0,0,"Sentence: However , the function of the BRCA1 protein has remained elusive .
Diseases: ","Sentence: However , the function of the BRCA1 protein has remained elusive .
Diseases:"
3,We now show that BRCA1 encodes a 190 - kD protein with sequence homology and biochemical analogy to the granin protein family .,O O O O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: We now show that BRCA1 encodes a 190 - kD protein with sequence homology and biochemical analogy to the granin protein family .
Diseases: ","Sentence: We now show that BRCA1 encodes a 190 - kD protein with sequence homology and biochemical analogy to the granin protein family .
Diseases:"
4,"Interestingly , BRCA2 also includes a motif similar to the granin consensus at the C terminus of the protein .",O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: Interestingly , BRCA2 also includes a motif similar to the granin consensus at the C terminus of the protein .
Diseases: ","Sentence: Interestingly , BRCA2 also includes a motif similar to the granin consensus at the C terminus of the protein .
Diseases:"
5,"Both BRCA1 and the granins localize to secretory vesicles , are secreted by a regulated pathway , are post - translationally glycosylated and are responsive to hormones .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: Both BRCA1 and the granins localize to secretory vesicles , are secreted by a regulated pathway , are post - translationally glycosylated and are responsive to hormones .
Diseases: ","Sentence: Both BRCA1 and the granins localize to secretory vesicles , are secreted by a regulated pathway , are post - translationally glycosylated and are responsive to hormones .
Diseases:"
6,"As a regulated secretory protein , BRCA1 appears to function by a mechanism not previously described for tumour suppressor gene products . .",O O O O O O O O O O O O O O O O O B-Disease O O O O O,['tumour'],1,3,"Sentence: As a regulated secretory protein , BRCA1 appears to function by a mechanism not previously described for tumour suppressor gene products . .
Diseases: tumour","Sentence: As a regulated secretory protein , BRCA1 appears to function by a mechanism not previously described for tumour suppressor gene products . .
Diseases:"
7,Ovarian cancer risk in BRCA1 carriers is modified by the HRAS1 variable number of tandem repeat ( VNTR ) locus .,B-Disease I-Disease O O O O O O O O O O O O O O O O O O O,['ovarian cancer'],1,3,"Sentence: Ovarian cancer risk in BRCA1 carriers is modified by the HRAS1 variable number of tandem repeat ( VNTR ) locus .
Diseases: ovarian cancer","Sentence: Ovarian cancer risk in BRCA1 carriers is modified by the HRAS1 variable number of tandem repeat ( VNTR ) locus .
Diseases:"
8,"Women who carry a mutation in the BRCA1 gene ( on chromosome 17q21 ) , have an 80 % risk of breast cancer and a 40 % risk of ovarian cancer by the age of 70 ( ref . 1 ) .",O O O O O O O O O O O O O O O O O O O O O B-Disease I-Disease O O O O O O B-Disease I-Disease O O O O O O O O O O O,"['breast cancer', 'ovarian cancer']",2,6,"Sentence: Women who carry a mutation in the BRCA1 gene ( on chromosome 17q21 ) , have an 80 % risk of breast cancer and a 40 % risk of ovarian cancer by the age of 70 ( ref . 1 ) .
Diseases: breast cancer, ovarian cancer","Sentence: Women who carry a mutation in the BRCA1 gene ( on chromosome 17q21 ) , have an 80 % risk of breast cancer and a 40 % risk of ovarian cancer by the age of 70 ( ref . 1 ) .
Diseases:"
9,The variable penetrance of BRCA1 suggests that other genetic and non - genetic factors play a role in tumourigenesis in these individuals .,O O O O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: The variable penetrance of BRCA1 suggests that other genetic and non - genetic factors play a role in tumourigenesis in these individuals .
Diseases: ","Sentence: The variable penetrance of BRCA1 suggests that other genetic and non - genetic factors play a role in tumourigenesis in these individuals .
Diseases:"
