,sents,ner_seq,entities,num_entities,num_tokens,prompts,empty_prompts
0,"of APC2 , a homologue of the adenomatous polyposis coli tumour suppressor .",O O O O O O O B-Disease I-Disease I-Disease I-Disease O O,['adenomatous polyposis coli tumour'],1,10,"Sentence: of APC2 , a homologue of the adenomatous polyposis coli tumour suppressor .
Diseases: adenomatous polyposis coli tumour","Sentence: of APC2 , a homologue of the adenomatous polyposis coli tumour suppressor .
Diseases:"
1,"The adenomatous polyposis coli ( APC ) tumour - suppressor protein controls the Wnt signalling pathway by forming a complex with glycogen synthase kinase 3beta ( GSK - 3beta ) , axin / conductin and betacatenin .",O B-Disease I-Disease I-Disease I-Disease I-Disease I-Disease I-Disease O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,['adenomatous polyposis coli ( apc ) tumour'],1,14,"Sentence: The adenomatous polyposis coli ( APC ) tumour - suppressor protein controls the Wnt signalling pathway by forming a complex with glycogen synthase kinase 3beta ( GSK - 3beta ) , axin / conductin and betacatenin .
Diseases: adenomatous polyposis coli ( apc ) tumour","Sentence: The adenomatous polyposis coli ( APC ) tumour - suppressor protein controls the Wnt signalling pathway by forming a complex with glycogen synthase kinase 3beta ( GSK - 3beta ) , axin / conductin and betacatenin .
Diseases:"
2,Complex formation induces the rapid degradation of betacatenin .,O O O O O O O O O,[],0,0,"Sentence: Complex formation induces the rapid degradation of betacatenin .
Diseases: ","Sentence: Complex formation induces the rapid degradation of betacatenin .
Diseases:"
3,"In colon carcinoma cells , loss of APC leads to the accumulation of betacatenin in the nucleus , where it binds to and activates the Tcf - 4 transcription factor ( reviewed in [ 1 ] [ 2 ] ) .",O B-Disease I-Disease O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,['colon carcinoma'],1,4,"Sentence: In colon carcinoma cells , loss of APC leads to the accumulation of betacatenin in the nucleus , where it binds to and activates the Tcf - 4 transcription factor ( reviewed in [ 1 ] [ 2 ] ) .
Diseases: colon carcinoma","Sentence: In colon carcinoma cells , loss of APC leads to the accumulation of betacatenin in the nucleus , where it binds to and activates the Tcf - 4 transcription factor ( reviewed in [ 1 ] [ 2 ] ) .
Diseases:"
4,"Here , we report the identification and genomic structure of APC homologues .",O O O O O O O O O O O O O,[],0,0,"Sentence: Here , we report the identification and genomic structure of APC homologues .
Diseases: ","Sentence: Here , we report the identification and genomic structure of APC homologues .
Diseases:"
5,"Mammalian APC2 , which closely resembles APC in overall domain structure , was functionally analyzed and shown to contain two SAMP domains , both of which are required for binding to conductin .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: Mammalian APC2 , which closely resembles APC in overall domain structure , was functionally analyzed and shown to contain two SAMP domains , both of which are required for binding to conductin .
Diseases: ","Sentence: Mammalian APC2 , which closely resembles APC in overall domain structure , was functionally analyzed and shown to contain two SAMP domains , both of which are required for binding to conductin .
Diseases:"
6,"Like APC , APC2 regulates the formation of active betacatenin - Tcf complexes , as demonstrated using transient transcriptional activation assays in APC - / - colon carcinoma cells .",O O O O O O O O O O O O O O O O O O O O O O O O O O B-Disease I-Disease O O,['colon carcinoma'],1,4,"Sentence: Like APC , APC2 regulates the formation of active betacatenin - Tcf complexes , as demonstrated using transient transcriptional activation assays in APC - / - colon carcinoma cells .
Diseases: colon carcinoma","Sentence: Like APC , APC2 regulates the formation of active betacatenin - Tcf complexes , as demonstrated using transient transcriptional activation assays in APC - / - colon carcinoma cells .
Diseases:"
7,Human APC2 maps to chromosome 19p13 .,O O O O O O O,[],0,0,"Sentence: Human APC2 maps to chromosome 19p13 .
Diseases: ","Sentence: Human APC2 maps to chromosome 19p13 .
Diseases:"
8,3 .,O O,[],0,0,"Sentence: 3 .
Diseases: ","Sentence: 3 .
Diseases:"
9,APC and APC2 may therefore have comparable functions in development and cancer .,O O O O O O O O O O O B-Disease O,['cancer'],1,1,"Sentence: APC and APC2 may therefore have comparable functions in development and cancer .
Diseases: cancer","Sentence: APC and APC2 may therefore have comparable functions in development and cancer .
Diseases:"
10,"A common MSH2 mutation in English and North American HNPCC families : origin , phenotypic expression , and sex specific differences in colorectal cancer .",O O O O O O O O O B-Disease O O O O O O O O O O O O B-Disease I-Disease O,"['hnpcc', 'colorectal cancer']",2,9,"Sentence: A common MSH2 mutation in English and North American HNPCC families : origin , phenotypic expression , and sex specific differences in colorectal cancer .
Diseases: hnpcc, colorectal cancer","Sentence: A common MSH2 mutation in English and North American HNPCC families : origin , phenotypic expression , and sex specific differences in colorectal cancer .
Diseases:"
