	sents	ner_seq	entities	num_entities	num_tokens	prompts	empty_prompts
0	Naloxone reverses the antihypertensive effect of clonidine .	B O O O O O B O	['naloxone', 'clonidine']	2	8	"Sentence: Naloxone reverses the antihypertensive effect of clonidine .
Drugs: naloxone, clonidine"	"Sentence: Naloxone reverses the antihypertensive effect of clonidine .
Drugs:"
1	In unanesthetized , spontaneously hypertensive rats the decrease in blood pressure and heart rate produced by intravenous clonidine , 5 to 20 micrograms / kg , was inhibited or reversed by nalozone , 0 . 2 to 2 mg / kg .	O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O B O O O O O O O O O O	['clonidine', 'nalozone']	2	7	"Sentence: In unanesthetized , spontaneously hypertensive rats the decrease in blood pressure and heart rate produced by intravenous clonidine , 5 to 20 micrograms / kg , was inhibited or reversed by nalozone , 0 . 2 to 2 mg / kg .
Drugs: clonidine, nalozone"	"Sentence: In unanesthetized , spontaneously hypertensive rats the decrease in blood pressure and heart rate produced by intravenous clonidine , 5 to 20 micrograms / kg , was inhibited or reversed by nalozone , 0 . 2 to 2 mg / kg .
Drugs:"
2	The hypotensive effect of 100 mg / kg alpha - methyldopa was also partially reversed by naloxone .	O O O O O O O O B I I O O O O O B O	['naloxone', 'alpha - methyldopa']	2	11	"Sentence: The hypotensive effect of 100 mg / kg alpha - methyldopa was also partially reversed by naloxone .
Drugs: naloxone, alpha - methyldopa"	"Sentence: The hypotensive effect of 100 mg / kg alpha - methyldopa was also partially reversed by naloxone .
Drugs:"
3	Naloxone alone did not affect either blood pressure or heart rate .	B O O O O O O O O O O O	['naloxone']	1	4	"Sentence: Naloxone alone did not affect either blood pressure or heart rate .
Drugs: naloxone"	"Sentence: Naloxone alone did not affect either blood pressure or heart rate .
Drugs:"
4	In brain membranes from spontaneously hypertensive rats clonidine , 10 ( - 8 ) to 10 ( - 5 ) M , did not influence stereoselective binding of [ 3H ] - naloxone ( 8 nM ) , and naloxone , 10 ( - 8 ) to 10 ( - 4 )	O O O O O O O B O O O O O O O O O O O O O O O O O O O O B I I I I O O O O O O B O O O O O O O O O O O O	['clonidine', 'naloxone', '[ 3h ] - naloxone']	3	18	"Sentence: In brain membranes from spontaneously hypertensive rats clonidine , 10 ( - 8 ) to 10 ( - 5 ) M , did not influence stereoselective binding of [ 3H ] - naloxone ( 8 nM ) , and naloxone , 10 ( - 8 ) to 10 ( - 4 )
Drugs: clonidine, naloxone, [ 3h ] - naloxone"	"Sentence: In brain membranes from spontaneously hypertensive rats clonidine , 10 ( - 8 ) to 10 ( - 5 ) M , did not influence stereoselective binding of [ 3H ] - naloxone ( 8 nM ) , and naloxone , 10 ( - 8 ) to 10 ( - 4 )
Drugs:"
5	M , did not influence clonidine - suppressible binding of [ 3H ] - dihydroergocryptine ( 1 nM ) .	O O O O O B O O O O B I I I I O O O O O	['clonidine', '[ 3h ] - dihydroergocryptine']	2	16	"Sentence: M , did not influence clonidine - suppressible binding of [ 3H ] - dihydroergocryptine ( 1 nM ) .
Drugs: clonidine, [ 3h ] - dihydroergocryptine"	"Sentence: M , did not influence clonidine - suppressible binding of [ 3H ] - dihydroergocryptine ( 1 nM ) .
Drugs:"
6	These findings indicate that in spontaneously hypertensive rats the effects of central alpha - adrenoceptor stimulation involve activation of opiate receptors .	O O O O O O O O O O O O O O O O O O O O O O	[]	0	0	"Sentence: These findings indicate that in spontaneously hypertensive rats the effects of central alpha - adrenoceptor stimulation involve activation of opiate receptors .
Drugs: "	"Sentence: These findings indicate that in spontaneously hypertensive rats the effects of central alpha - adrenoceptor stimulation involve activation of opiate receptors .
Drugs:"
7	As naloxone and clonidine do not appear to interact with the same receptor site , the observed functional antagonism suggests the release of an endogenous opiate by clonidine or alpha - methyldopa and the possible role of the opiate in the central control of sympathetic tone .	O B O B O O O O O O O O O O O O O O O O O O O O O O O B O B I I O O O O O O O O O O O O O O O	['naloxone', 'alpha - methyldopa', 'clonidine']	3	15	"Sentence: As naloxone and clonidine do not appear to interact with the same receptor site , the observed functional antagonism suggests the release of an endogenous opiate by clonidine or alpha - methyldopa and the possible role of the opiate in the central control of sympathetic tone .
Drugs: naloxone, alpha - methyldopa, clonidine"	"Sentence: As naloxone and clonidine do not appear to interact with the same receptor site , the observed functional antagonism suggests the release of an endogenous opiate by clonidine or alpha - methyldopa and the possible role of the opiate in the central control of sympathetic tone .
Drugs:"
8	Lidocaine - induced cardiac asystole .	B O O O O O	['lidocaine']	1	4	"Sentence: Lidocaine - induced cardiac asystole .
Drugs: lidocaine"	"Sentence: Lidocaine - induced cardiac asystole .
Drugs:"
9	Intravenous administration of a single 50 - mg bolus of lidocaine in a 67 - year - old man resulted in profound depression of the activity of the sinoatrial and atrioventricular nodal pacemakers .	O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O	['lidocaine']	1	4	"Sentence: Intravenous administration of a single 50 - mg bolus of lidocaine in a 67 - year - old man resulted in profound depression of the activity of the sinoatrial and atrioventricular nodal pacemakers .
Drugs: lidocaine"	"Sentence: Intravenous administration of a single 50 - mg bolus of lidocaine in a 67 - year - old man resulted in profound depression of the activity of the sinoatrial and atrioventricular nodal pacemakers .
Drugs:"
