	sents	ner_seq	entities	num_entities	num_tokens	prompts	empty_prompts
0	Naloxone reverses the antihypertensive effect of clonidine .	O O O O O O O O	[]	0	0	"Sentence: Naloxone reverses the antihypertensive effect of clonidine .
Diseases: "	"Sentence: Naloxone reverses the antihypertensive effect of clonidine .
Diseases:"
1	In unanesthetized , spontaneously hypertensive rats the decrease in blood pressure and heart rate produced by intravenous clonidine , 5 to 20 micrograms / kg , was inhibited or reversed by nalozone , 0 . 2 to 2 mg / kg .	O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	['hypertensive']	1	3	"Sentence: In unanesthetized , spontaneously hypertensive rats the decrease in blood pressure and heart rate produced by intravenous clonidine , 5 to 20 micrograms / kg , was inhibited or reversed by nalozone , 0 . 2 to 2 mg / kg .
Diseases: hypertensive"	"Sentence: In unanesthetized , spontaneously hypertensive rats the decrease in blood pressure and heart rate produced by intravenous clonidine , 5 to 20 micrograms / kg , was inhibited or reversed by nalozone , 0 . 2 to 2 mg / kg .
Diseases:"
2	The hypotensive effect of 100 mg / kg alpha - methyldopa was also partially reversed by naloxone .	O B O O O O O O O O O O O O O O O O	['hypotensive']	1	3	"Sentence: The hypotensive effect of 100 mg / kg alpha - methyldopa was also partially reversed by naloxone .
Diseases: hypotensive"	"Sentence: The hypotensive effect of 100 mg / kg alpha - methyldopa was also partially reversed by naloxone .
Diseases:"
3	Naloxone alone did not affect either blood pressure or heart rate .	O O O O O O O O O O O O	[]	0	0	"Sentence: Naloxone alone did not affect either blood pressure or heart rate .
Diseases: "	"Sentence: Naloxone alone did not affect either blood pressure or heart rate .
Diseases:"
4	In brain membranes from spontaneously hypertensive rats clonidine , 10 ( - 8 ) to 10 ( - 5 ) M , did not influence stereoselective binding of [ 3H ] - naloxone ( 8 nM ) , and naloxone , 10 ( - 8 ) to 10 ( - 4 )	O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	['hypertensive']	1	3	"Sentence: In brain membranes from spontaneously hypertensive rats clonidine , 10 ( - 8 ) to 10 ( - 5 ) M , did not influence stereoselective binding of [ 3H ] - naloxone ( 8 nM ) , and naloxone , 10 ( - 8 ) to 10 ( - 4 )
Diseases: hypertensive"	"Sentence: In brain membranes from spontaneously hypertensive rats clonidine , 10 ( - 8 ) to 10 ( - 5 ) M , did not influence stereoselective binding of [ 3H ] - naloxone ( 8 nM ) , and naloxone , 10 ( - 8 ) to 10 ( - 4 )
Diseases:"
5	M , did not influence clonidine - suppressible binding of [ 3H ] - dihydroergocryptine ( 1 nM ) .	O O O O O O O O O O O O O O O O O O O O	[]	0	0	"Sentence: M , did not influence clonidine - suppressible binding of [ 3H ] - dihydroergocryptine ( 1 nM ) .
Diseases: "	"Sentence: M , did not influence clonidine - suppressible binding of [ 3H ] - dihydroergocryptine ( 1 nM ) .
Diseases:"
6	These findings indicate that in spontaneously hypertensive rats the effects of central alpha - adrenoceptor stimulation involve activation of opiate receptors .	O O O O O O B O O O O O O O O O O O O O O O	['hypertensive']	1	3	"Sentence: These findings indicate that in spontaneously hypertensive rats the effects of central alpha - adrenoceptor stimulation involve activation of opiate receptors .
Diseases: hypertensive"	"Sentence: These findings indicate that in spontaneously hypertensive rats the effects of central alpha - adrenoceptor stimulation involve activation of opiate receptors .
Diseases:"
7	As naloxone and clonidine do not appear to interact with the same receptor site , the observed functional antagonism suggests the release of an endogenous opiate by clonidine or alpha - methyldopa and the possible role of the opiate in the central control of sympathetic tone .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	[]	0	0	"Sentence: As naloxone and clonidine do not appear to interact with the same receptor site , the observed functional antagonism suggests the release of an endogenous opiate by clonidine or alpha - methyldopa and the possible role of the opiate in the central control of sympathetic tone .
Diseases: "	"Sentence: As naloxone and clonidine do not appear to interact with the same receptor site , the observed functional antagonism suggests the release of an endogenous opiate by clonidine or alpha - methyldopa and the possible role of the opiate in the central control of sympathetic tone .
Diseases:"
8	Lidocaine - induced cardiac asystole .	O O O B I O	['cardiac asystole']	1	6	"Sentence: Lidocaine - induced cardiac asystole .
Diseases: cardiac asystole"	"Sentence: Lidocaine - induced cardiac asystole .
Diseases:"
9	Intravenous administration of a single 50 - mg bolus of lidocaine in a 67 - year - old man resulted in profound depression of the activity of the sinoatrial and atrioventricular nodal pacemakers .	O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O	['depression']	1	2	"Sentence: Intravenous administration of a single 50 - mg bolus of lidocaine in a 67 - year - old man resulted in profound depression of the activity of the sinoatrial and atrioventricular nodal pacemakers .
Diseases: depression"	"Sentence: Intravenous administration of a single 50 - mg bolus of lidocaine in a 67 - year - old man resulted in profound depression of the activity of the sinoatrial and atrioventricular nodal pacemakers .
Diseases:"
